Key,Description,Standard,EN,ZH
SAY.Flowchart.2.アンネ,,こんにちは,Hello,你好
SAY.Flowchart.1.アンネ,,北の茶色い家まで送ってくれませんか？,Could you send me to north brown house?,你能送我到北棕色的房子？
SAY.Flowchart.11.,,送ってくれて、ありがとうございました！,Thank you for sending me.,谢谢你送我的。
SAY.Flowchart.24.,,今日は友達の誕生日パーティーに行くんです！,"Today, I will go to my friend's birthday party.",今天，我会去我朋友的生日聚会。
SAY.Flowchart.27.,,黒のコートと赤のコート、どっちが似合いますか？,"Which looks good, black coat or red coat?",这看起来不错，黑色大衣或红色外套？
MENU.Flowchart.25,,黒,Black,黑色
MENU.Flowchart.29,,赤,Red,红色
SAY.Flowchart.30.,,そうですか...,I see…,我知道了…
SAY.Flowchart.31.,,やっぱり赤ですよね！,I think so too!,我也这么认为！
SAY.Flowchart.33.アンネ,,テスト,Test,测试
CHARACTER.アンネ,,アンネ,Annne,安妮·
